item,zone,mean_RT,word,n_subjects,story_id,word_id,freq_token,word_freq,word_length,log_freq,gpt3_logprob,gpt3_surprisal,word_lower,is_function,word_type
1,2,369.0119047619048,you,84,1,2,you,578117187,3,8.762015880823492,-0.7762714,1.1199228991639327,you,True,Function
1,3,368.183908045977,were,87,1,3,were,457504590,4,8.660395455564592,-4.3319106,6.249625940194334,were,True,Function
1,4,344.3181818181818,to,88,1,4,to,4223327232,2,9.62565473275005,-1.4618218,2.108963061523378,to,True,Function
1,5,354.63953488372096,journey,86,1,5,journey,6826751,7,6.83421406261466,-10.098377,14.568878418927167,journey,False,Content
1,6,349.6741573033708,to,89,1,6,to,4223327232,2,9.62565473275005,-1.2816627,1.8490484213823595,to,True,Function
1,7,376.3707865168539,the,89,1,7,the,9819942513,3,9.992108945387768,-0.9598089,1.384711540231091,the,True,Function
1,8,327.3103448275862,North,87,1,8,North,24140988,5,7.382755040167612,-4.6311445,6.681329203790199,north,False,Content
1,9,365.4943820224719,of,89,1,9,of,6162371881,2,9.789747903165104,-3.3599708,4.847413210691723,of,True,Function
1,10,344.9310344827586,"England,",87,1,10,England,21443938,8,7.331304542896825,-2.544441,3.670852412534555,"england,",False,Content
1,11,400.2696629213483,you,89,1,11,you,578117187,3,8.762015880823492,-0.9609764,1.3863958866913288,you,True,Function
1,12,372.59090909090907,would,88,1,12,would,319551796,5,8.504541262788026,-0.940191,1.3564088931884355,would,True,Function
1,13,350.3793103448276,come,87,1,13,come,69378970,4,7.841227848019203,-3.179864,4.587574023501342,come,False,Content
1,14,319.08045977011494,to,87,1,14,to,4223327232,2,9.62565473275005,-1.9346006,2.7910386917208134,to,True,Function
1,15,355.9310344827586,a,87,1,15,a,3213754375,1,9.507012680872096,-0.9940337,1.4340874894665077,a,True,Function
1,16,343.8588235294118,valley,85,1,16,valley,4303289,6,6.633800513382263,-5.733325,8.271439545304716,valley,False,Content
1,17,330.7325581395349,that,86,1,17,that,1746480437,4,9.24216372530116,-2.33745,3.3722275233259076,that,True,Function
1,18,346.77906976744185,is,86,1,18,is,1780724214,2,9.250596664206505,-1.3783444,1.9885306305170738,is,True,Function
1,19,360.28735632183907,surrounded,87,1,19,surrounded,4468786,10,6.650189557783113,-2.5619767,3.696151079963072,surrounded,False,Content
1,20,337.04651162790697,by,86,1,20,by,877228367,2,8.94311266704604,-0.16176383,0.23337587533620532,by,True,Function
1,21,359.3647058823529,moors,85,1,21,moors,116892,5,5.067784789393289,-5.1499077128,7.429746318292384,moors,False,Content
1,22,395.4302325581396,as,86,1,22,as,1139819594,2,9.056836118415085,-6.773445,9.772015511234144,as,True,Function
1,23,414.5977011494253,high,87,1,23,high,78531970,4,7.895046492007248,-3.5280385,5.089883648015338,high,False,Content
1,24,390.953488372093,as,86,1,24,as,1139819594,2,9.056836118415085,-0.087822884,0.1267016392233667,as,True,Function
1,25,434.03614457831327,mountains.,83,1,25,mountains,5322969,10,6.726153936928317,-1.9086754,2.7536365342467586,mountains.,False,Content
