lemma,lemma_freq,n_surface_forms,surface_forms,fobs_rank,fobs_bin
the,9819942513,1,the,1,1
of,6162371881,1,of,2,1
be,5630024175,8,"am, are, be, been, being",3,1
and,4873010095,1,and,4,1
a,4353573969,2,"a, as",5,1
to,4223327232,1,to,6,1
in,3271087682,1,in,7,1
that,1746480437,1,that,8,1
have,1510299857,4,"had, has, have, having",9,1
for,1388290219,1,for,10,1
it,1195878086,2,"it, its",11,1
with,1110064802,1,with,12,1
not,1006314753,1,not,13,1
on,993594775,1,on,14,1
i,926120510,1,i,15,1
by,877228367,1,by,16,1
or,793525686,1,or,17,1
from,708532803,1,from,18,1
at,654432238,1,at,19,1
his,632876249,1,his,20,1
he,610944752,1,he,21,1
this,599554050,1,this,22,1
do,588568299,5,"did, do, does, doing, done",23,1
you,578117187,1,you,24,1
an,576832090,1,an,25,1
which,508000647,1,which,26,1
their,438887121,1,their,27,1
but,422070748,1,but,28,1
they,418953705,1,they,29,1
can,416290431,1,can,30,1
her,415597541,1,her,31,1
one,414987663,2,"one, ones",32,1
all,374139462,1,all,33,1
we,340770885,1,we,34,1
more,329429635,1,more,35,1
would,319551796,1,would,36,1
make,317717186,3,"made, make, making",37,1
will,314222543,1,will,38,1
use,312632593,2,"use, used",39,1
time,297155142,2,"time, times",40,1
who,294018466,1,who,41,1
say,282851250,4,"said, say, saying, says",42,1
other,281661595,1,other,43,1
she,278699382,1,she,44,1
about,265782619,1,about,45,1
into,254637739,1,into,46,1
so,252284174,1,so,47,1
when,249000060,1,when,48,1
than,248883542,1,than,49,1
also,248861077,1,also,50,1
there,243799443,1,there,51,1
out,242417228,1,out,52,1
them,240201864,1,them,53,1
no,236436100,1,no,54,1
up,232348461,1,up,55,1
if,232130093,1,if,56,1
may,231873651,1,may,57,1
my,230745730,1,my,58,1
him,230330497,1,him,59,1
only,224965302,1,only,60,1
take,223298202,5,"take, taken, takes, taking, took",61,1
what,218817723,1,what,62,1
some,212953941,1,some,63,1
these,212323984,1,these,64,1
such,209032143,1,such,65,1
see,208637501,3,"see, seeing, seen",66,1
could,205904563,1,could,67,1
your,205261264,1,your,68,1
two,201126338,1,two,69,1
